ID,Drinking Category,Species,Sex,Age,Cortisol,ACTH,Deoxycorticosterone,Aldosterone,DHEAS,Osteocalcin,CTX,FGF_basic,IL_1b,G_CSF,IL_10,IL_6,IL_12,RANTES,Eotaxin,IL_17,MIP_1a,GM_CSF,MIP_1b,MCP_1,IL_15,EGF,IL_5,HGF,VEGF,IFN_y,MDC,I_TAC,MIFAnalyte_46,IL_1RA,TNF_a,IL_2,IP_10,MIG,IL_4,IL_8,IL_23,VEGF_D
10069,VHD,Rhesus,F,4.13697748755963,,,,,,15.25,1.55,2.4132593971,0.8095658021,29.74827270985,1.29708373695,1.26320825969999,212.40287188345,2100.84729465165,34.07715563035,8.43786293475,18.14186325925,1.4187953643,38.19332861895,176.4134258348,11.49651419625,0.29,0.3308454382,42.15071778425,0.059,24.64504425645,900.7676328952,93.5830587327,92.3814808004,436.51706680075,31.59647350975,204.31016810405,2.2933938453,303.5337531006,3.91359332955,0.29,204.31016810405,0.059
10070,VHD,Rhesus,F,4.11781213851071,,,,,,13.33,2,2.82430757035,0.75512069515,36.29684119485,1.4242033025,1.48893043255,211.33859554115,3246.77785317165,183.4103983806,7.30780456925,18.55042602245,1.4386596392,62.4847756244,221.17481602215,21.5524219627,1.24042651069999,0.498502915,57.27593607075,0.059,37.6746042948,623.3234105682,103.754804942049,81.74835883655,495.0606582755,54.0338718966,497.809676847449,1.58870571995,307.36448217105,2.98458932685,0.29,497.809676847449,0.059
10072,LD,Rhesus,F,5.8344798318925,,,,,,20,1.43,0.55,3.7321604141,54.22963975495,1.6079398783,0.51414262,968.6192650045,1455.47537667005,91.4534517366,4.59582161195,13.7300110362,0.47807551115,19.1446622389499,96.8848667229,5.83810707405,2.6,0.311494850999999,41.8675149071,0.378840009499999,8.79696686715,1182.83990635874,25.2037188443,25.1716205038,1895.47270633725,16.8481294568,97.4047249342999,2.29283181754999,19.79733581095,2.4082866352,0.395192384899999,97.4047249342999,0.378840009499999
10073,VHD,Rhesus,F,5.62913680636837,,,,,,11.17,0.879,0.55,4.721183027,20.7231054062,1.4943114538,0.7831667797,463.1260287503,237.0077815857,199.3040957519,4.0414772583,1.34,0.3780445452,35.0681409225,131.2770952898,3.0637819576,2.6,0.1093958767,24.3867176231,0.0725192382,9.2101509979,444.0307643024,24.8837450911,11.9684207853,377.2295971521,10.3662925957,33.3280209927,0.9845445579,23.7386328469,0.8142316966,0.2,33.3280209927,0.0725192382
10074,LD,Rhesus,F,5.58533029425655,,,,,,15.54,0.782,1.34104494605,15.6906787256,48.46612793885,3.8824102222,3.038555399,427.505457432249,2196.9650339749,378.30700067985,8.89828204965,18.1063454837499,0.5907586138,47.6733174972,224.08413969675,8.37803755335,2.6,0.15979595,55.8659559999,0.7974762019,27.7752853226,1600.1911333622,39.59191040175,27.5720095513,2035.124017567,23.88095312805,143.2468380508,6.18145095004999,51.15889744595,2.4082866352,0.2,143.2468380508,0.7974762019
10075,HD,Rhesus,F,5.8344798318925,,,,,,12.72,0.921,1.55816590769999,4.73658644345,37.10637119575,1.83480729865,1.66060639475,340.678852672299,1585.91595066035,176.9672478199,7.02671608614999,14.9191838894,0.5527187109,36.8474942832,244.9107695831,14.71993771685,2.6,0.10939587665,45.9415514442499,0.38915081625,13.86537229625,762.024038966799,39.5434949591,41.26552094555,1758.21909918145,18.85212973445,56.8583209656499,2.82873861505,30.72374134315,1.6112591659,0.5568652433,56.8583209656499,0.38915081625
10077,LD,Rhesus,F,6.04256076442363,,,,,,17.49,1.25,0.55,4.9663141358,29.3065707932,2.0616794935,1.135159853,167.0386698383,1206.5237526733,124.7239141018,42.3983375482,16.6192142592,0.5273309447,17.2565796927,77.0758344798,9.350521677,2.6,0.1597298502,46.1180155194,0.3199233017,13.4327695151,451.8204677413,216.0176560153,54.9530913414,1622.0715337089,16.8481294568,33.3280209927,2.1452444429,20.4638057083,2.4082866352,3.7797057274,33.3280209927,0.3199233017
10078,VHD,Rhesus,F,3.83580771679089,,,,,,14.02,1.47,0.18,0.6094027242,26.501827977,1.0817452034,0.8261385602,298.5251672019,995.9925382293,169.8613664777,7.1206313647,17.324989408,1.4263159381,30.0608340298,154.3144609231,1.5192211889,0.29,0.4154349682,42.3037705371,0.059,19.5003411621,539.0484126735,99.1969588913,95.4893417669,331.7383944005,25.3334320255,165.6552483489,2.5911676637,237.4803675898,5.2082723856,0.29,165.6552483489,0.059
10080,VHD,Rhesus,F,4.15614283660855,,,,,,15.72,1.29,4.2427695047,4.938002336,27.4962698434,1.47989499,1.5536952359,405.6237851542,1174.9748085818,201.8712226519,6.8050423044,14.8065401217,0.7896174673,26.4381054184,295.0881495647,17.8964562837,0.88,0.5698781062,46.5939901766,0.6537354134,11.3922951516,275.9008002072,55.1544689382,37.7213106898,2431.1272152504,18.4126643141,94.1649563092,1.9743683401,52.7963109167,2.6933826401,2.1147303323,94.1649563092,0.6537354134
10081,VHD,Rhesus,F,4.15614283660855,,,,,,18.49,1.41,16.56420006695,0.5338972554,17.9686133085,1.15723620465,4.9174096074,261.5202066934,729.74006397275,69.9388710559,5.95724512565,16.976744718,1.2410556353,79.9634550067,156.10800102635,18.41575318495,0.29,0.33770459625,51.79560658335,0.059,56.98738793625,943.82584551685,65.40929717475,64.91199116225,334.657417483,15.0047657689,77.7083686858,1.78340550195,207.966300381,4.35411402745,0.29,77.7083686858,0.059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
